カード名,登場期
封印されし者の右足,1
封印されし者の左足,1
封印されし者の右腕,1
封印されし者の左腕,1
封印されしエクゾディア,1
ブラック・ホール,1
サンダー・ボルト,1
強欲な壺,1
心変わり,1
遺言状,1
聖なるバリア －ミラーフォース－,1
ハーピィの羽根帚,1
天使の施し,1
死者蘇生,1
青眼の白龍,1
ホーリー・エルフ,1
サイクロプス,1
ベビードラゴン,1
ガーゴイル,1
グレムリン,1
砦を守る翼竜,1
きのこマン,1
ヘルバウンド,1
暗黒の竜王,1
剣竜,1
バーバリアン２号,1
タイホーン,1
牛魔人,1
炎の剣士,1
時の魔術師,1
デーモンの召喚,1
邪悪なるワーム・ビースト,1
ワイト,1
インプ,1
ミノタウルス,1
ルイーズ,1
岩窟魔人オーガ・ロック,1
マウンテン・ウォーリアー,1
アンデット・ウォーリアー,1
デビル・ドラゴン,1
二頭を持つキング・レックス,1
ジャッジ・マン,1
闇・道化師のサギー,1
ブラック・マジシャン,1
メデューサの亡霊,1
竜騎士ガイア,1
暗黒騎士ガイア,1
カース・オブ・ドラゴン,1
壺魔人,1
エルフの剣士,1
幻想師・ノー・フェイス,1
カルボナーラ戦士,1
ホーリー・ドール,1
エレキッズ,1
グリフォール,1
サイガー,1
クリッター,1
ビック・アント,1
昆虫人間,1
鎧蜥蜴,1
ヘラクレス・ビートル,1
キラー・ビー,1
ゴキボール,1
吸血ノミ,1
ラーバモス,1
グレート・モス,1
クリボー,1
マンモスの墓場,1
グレート・ホワイト,1
オオカミ,1
ハーピィ・レディ,1
ハーピィ・レディ三姉妹,1
タイガー・アックス,1
シルバー・フォング,1
魔物の狩人,1
究極完全態・グレート・モス,1
ガルーザス,1
千年竜,1
デビル・クラーケン,1
海月－ジェリーフィッシュ－,1
進化の繭,1
海竜神,1
岩石の巨兵,1
人喰い植物,1
クロコダイラス,1
グラップラー,1
アックス・レイダー,1
メガザウラー,1
ワイルド・ラプター,1
屍を貪る竜,1
真紅眼の黒竜,1
闇晦ましの城,1
カードを狩る死神,1
闇魔界の覇王,1
バロックス,1
ダーク・キメラ,1
メタル・ガーディアン,1
カタパルト・タートル,1
逆転の女神,1
ケンタウロス,1
ミノケンタウロス,1
鎧武者斬鬼,1
地を這うドラゴン,1
マーダーサーカス,1
鎧武者ゾンビ,1
ドラゴン・ゾンビ,1
マーダーサーカス・ゾンビ,1
ゴースト王－パンプキング－,1
格闘戦士アルティメーター,1
邪炎の翼,1
闇の仮面,1
転職の魔鏡,1
黒魔族のカーテン,1
トモザウルス,1
風の精霊,1
シャドウ・ファイター,1
手招きする墓場,1
心眼の女神,1
東方の英雄,1
死の沈黙の天使 ドマ,1
命を食する者,1
ダーク・グレイ,1
白い泥棒,1
カオス・ウィザード,1
ナイトメア・スコーピオン,1
本の精霊 ホーク・ビショップ,1
物陰の協力者,1
地獄の裁判,1
ドリーム・ピエロ,1
眠れる獅子,1
ヤマタノ竜絵巻,1
ダーク・プラント,1
アイアン・ハート,1
セイント・バード,1
戦いの神 オリオン,1
アサシン,1
ラムーン,1
眠り子,1
ウェザー・コントロール,1
１３人目の埋葬者,1
炎の騎士 キラー,1
聖なる鎖,1
死者の腕,1
魔人デスサタン,1
なぞの手,1
竜魂の石像,1
青眼の銀ゾンビ,1
トードマスター,1
デビルツムリ,1
炎を操る者,1
時の魔人 ネクロランサ,1
風の番人 ジン,1
魅惑の怪盗,1
髑髏の寺院,1
モンスター・エッグ,1
闇を司る影,1
ランプの魔人,1
カクタス,1
赤き剣のライムンドス,1
とろける赤き影,1
死神のドクロイゾ,1
ファイヤー・デビル,1
ラーバス,1
ハードアーマー,1
火炎草,1
マンイーター,1
ディッグ・ビーク,1
マグネッツ１号,1
マグネッツ２号,1
悪魔の知恵,1
サファイヤ・リサーク,1
ゼミアの神,1
ジャジメント・ザ・ハンド,1
謎の傀儡師,1
太古の壺,1
暗黒火炎龍,1
深淵の冥王,1
ハープの精,1
大王目玉,1
アーメイル,1
ダーク・プリズナー,1
ハリケル,1
魔天老,1
ファイヤー・アイ,1
モンスタートル,1
キラー・ザ・クロー,1
サターナ,1
アルラウネ,1
ダークシェイド,1
仮面道化,1
ホーリー・パワー,1
ジャグラー,1
コピックス,1
ミラージュ,1
ヘルゲート・ディーグ,1
ファランクス,1
フュージョニスト,1
レッド・エース,1
ララ・ライウーン,1
キーメイス,1
タートル・タイガー,1
魔人 テラ,1
ドローン,1
アンモ・ナイト,1
ゾンビランプ,1
ハッピー・ラヴァー,1
プチリュウ,1
キラーパンダ,1
デーモン・ビーバー,1
ゴースト,1
マキャノン,1
ドローバ,1
グロス,1
スピック,1
プチテンシ,1
ダークキラー,1
スティング,1
サンダー・キッズ,1
バビロン,1
アクア・マドール,1
紫炎の影武者,1
フレイム・ゴースト,1
ドリアード,1
ブラック・デーモンズ・ドラゴン,1
二つの口を持つ闇の支配者,1
ソリテュード,1
仮面魔道士,1
蜘蛛男,1
ミッドナイト・デビル,1
轟きの大海蛇,1
トラップ・マスター,1
呪われし魔剣,1
デス・ストーカー,1
ヒトデンチャク,1
森の屍,1
命の砂時計,1
レア・フィッシュ,1
ウッド・ジョーカー,1
魔人銃,1
暗黒魔神 ナイトメア,1
斬首の美女,1
森の住人 ウダン,1
冥界の番人,1
はにわ,1
ヤシの木,1
ヴィシュワ・ランディー,1
デス・フット,1
闇の暗殺者,1
運命のろうそく,1
ウォーター・エレメント,1
マグマン,1
D・ナポレオン,1
魂を狩る者,1
ルート・ウォーター,1
マスター・アン・エキスパート,1
水の踊り子,1
氷,1
恍惚の人魚,1
キャッツ・フェアリー,1
エンジェル・魔女,1
未熟な悪魔,1
プリヴェント・ラット,1
異次元の戦士,1
ストーン・アルマジラー,1
沼地の魔獣王,1
古代魔導士,1
月の女神 エルザェム,1
悪魔の鏡,1
アイルの小剣士,1
ウォー・アース,1
ウィング・エッグ・エルフ,1
怒りの海王,1
剣の女王,1
悪の無名戦士,1
闇にしたがう者,1
破壊神 ヴァサーゴ,1
ウェザ,1
メギラス・ライト,1
マブラス,1
悟りの老樹,1
緑樹の霊王,1
陸戦型 バグロス,1
北風と太陽,1
ゴーゴン・エッグ,1
プチモス,1
キング・スモーク,1
王座の守護者,1
バーサーカー,1
スリーピィ,1
ホログラー,1
陰陽師 タオ,1
デビル・スネーク,1
ゲート・キーパー,1
黒い影の鬼王,1
闇の芸術家,1
チェンジ・スライム,1
月の使者,1
炎の魔神,1
伝説の剣豪 MASAKI,1
魔装騎士ドラゴネス,1
B・プラント,1
一眼の盾竜,1
