禁止,制限,準制限,無制限,無制限(新録)
,封印されし者の右足,クリッター,青眼の白龍,墓守の使い魔
,封印されし者の左足,天使の施し,ホーリー・エルフ,邪悪な儀式
,封印されし者の右腕,補充要員,サイクロプス,通行税
,封印されし者の左腕,抹殺の使徒,ベビードラゴン,最終戦争
,封印されしエクゾディア,カオスポッド,ガーゴイル,聖域の歌声
,ブラック・ホール,フォース,グレムリン,闇の訪れ
,サンダー・ボルト,切り込み隊長,砦を守る翼竜,天使の手鏡
,光の護封剣,増援,きのこマン,移り気な仕立屋
,黒き森のウィッチ,ラストバトル！,ヘルバウンド,突進
,メタモルポット,守護者スフィンクス,暗黒の竜王,頼もしき守護者
,ハーピィの羽根帚,,剣竜,魔力の枷
,人造人間－サイコ・ショッカー,,バーバリアン２号,サイクロン
,手札抹殺,,タイホーン,ハリケーン
,死者蘇生,,牛魔人,毒蛇の牙
,強欲な壺,,炎の剣士,光の追放者
,心変わり,,時の魔術師,巨大ネズミ
,聖なるバリア －ミラーフォース－,,デーモンの召喚,センジュ・ゴッド
,大嵐,,邪悪なるワーム・ビースト,UFOタートル
,成金ゴブリン,,ワイト,秒殺の暗殺者
,強奪,,インプ,カラテマン
,押収,,ミノタウルス,ダークゼブラ
,いたずら好きな双子悪魔,,ルイーズ,ジャイアントウィルス
,強引な番兵,,岩窟魔人オーガ・ロック,素早いモモンガ
,苦渋の選択,,マウンテン・ウォーリアー,ダークファミリア
,サイバーポッド,,アンデット・ウォーリアー,シャインエンジェル
,停戦協定,,デビル・ドラゴン,ボアソルジャー
,王宮の勅命,,二頭を持つキング・レックス,グリズリーマザー
,早すぎた埋葬,,ジャッジ・マン,ドラゴンフライ
,リビングデッドの呼び声,,闇・道化師のサギー,セレモニーベル
,破壊輪,,ブラック・マジシャン,ソニックバード
,ドル・ドラ,,メデューサの亡霊,キラー・トマト
,お注射天使リリー,,竜騎士ガイア,コトダマ
,ニュート,,暗黒騎士ガイア,ガイアパワー
,魔法の筒,,カース・オブ・ドラゴン,ウォーターワールド
,リミッター解除,,壺魔人,バーニングブラッド
,団結の力,,エルフの剣士,デザートストーム
,魔導師の力,,幻想師・ノー・フェイス,シャインスパーク
,処刑人－マキュラ,,カルボナーラ戦士,ダークゾーン
,ならず者傭兵部隊,,ホーリー・ドール,平和の使者
,現世と冥界の逆転,,エレキッズ,道連れ
,ファイバーポッド,,グリフォール,突風
,八汰烏,,サイガー,猛吹雪
,無謀な欲張り,,ビック・アント,ガラスの鎧
,,,昆虫人間,世界の平定
,,,鎧蜥蜴,魔法探査の石版
,,,ヘラクレス・ビートル,金属探知器
,,,キラー・ビー,白衣の天使
,,,ゴキボール,便乗
,,,吸血ノミ,強制接収
,,,ラーバモス,ゴブリンの小役人
,,,グレート・モス,ギャンブル
,,,クリボー,DNA改造手術
,,,マンモスの墓場,一族の掟
,,,グレート・ホワイト,白兵戦
,,,オオカミ,大騒動
,,,ハーピィ・レディ,聖なる輝き
,,,ハーピィ・レディ三姉妹,正々堂々
,,,タイガー・アックス,死霊の誘い
,,,シルバー・フォング,マジカルシルクハット
,,,魔物の狩人,撲滅の使徒
,,,究極完全態・グレート・モス,浅すぎた墓穴
,,,ガルーザス,検閲
,,,千年竜,禁止令
,,,デビル・クラーケン,デスハムスター
,,,海月－ジェリーフィッシュ－,フレイムキラー
,,,進化の繭,ビッグバンドラゴン
,,,海竜神,バーニングソルジャー
,,,岩石の巨兵,ミスターボルケーノ
,,,人喰い植物,炎の剣豪
,,,クロコダイラス,精神寄生体
,,,グラップラー,メカファルコン
,,,アックス・レイダー,ダークバット
,,,メガザウラー,フライングマンティス
,,,ワイルド・ラプター,バードマン
,,,屍を貪る竜,鬼タンクT－３４
,,,真紅眼の黒竜,ガトリングバギー
,,,闇晦ましの城,バスター・ブレイダー
,,,カードを狩る死神,刻の封印
,,,闇魔界の覇王,墓荒らし
,,,バロックス,ホーリー・エルフの祝福
,,,ダーク・キメラ,真実の眼
,,,メタル・ガーディアン,砂塵の大竜巻
,,,カタパルト・タートル,ソロモンの律法書
,,,逆転の女神,地殻変動
,,,ケンタウロス,ホーリージャベリン
,,,ミノケンタウロス,銀幕の鏡壁
,,,鎧武者斬鬼,イタクァの暴風
,,,地を這うドラゴン,磁石の戦士マグネット・バルキリオン
,,,マーダーサーカス,ドラゴンに乗るワイバーン
,,,鎧武者ゾンビ,ブラッド・ヴォルス
,,,ドラゴン・ゾンビ,アクアの合唱
,,,マーダーサーカス・ゾンビ,セベクの祝福
,,,ゴースト王－パンプキング－,魔封じの芳香
,,,格闘戦士アルティメーター,竜殺しの剣
,,,邪炎の翼,旧神の印
,,,闇の仮面,太陽の戦士
,,,転職の魔鏡,王虎ワンフー
,,,黒魔族のカーテン,コマンド・ナイト
,,,トモザウルス,ベイオウルフ
,,,風の精霊,魔導紳士－J
,,,シャドウ・ファイター,ノーブル・ド・ノワール
,,,手招きする墓場,バード・フェイス
,,,心眼の女神,クルーエル
,,,東方の英雄,天空騎士パーシアス
,,,死の沈黙の天使 ドマ,妖精王オベロン
,,,命を食する者,ナーガ
,,,ダーク・グレイ,海神の巫女
,,,白い泥棒,機械軍曹
,,,カオス・ウィザード,雷電娘々
,,,ナイトメア・スコーピオン,溶岩大巨人
,,,本の精霊 ホーク・ビショップ,リーフ・フェアリー
,,,物陰の協力者,アーマード・フライ
,,,地獄の裁判,サイファー・スカウター
,,,ドリーム・ピエロ,X・E・N・O
,,,眠れる獅子,魂喰らい
,,,ヤマタノ竜絵巻,シェイプ・スナッチ
,,,ダーク・プラント,電磁ミノ虫
,,,アイアン・ハート,タイム・イーター
,,,セイント・バード,グラッジ
,,,戦いの神 オリオン,異形の従者
,,,アサシン,リグラス・リーパー
,,,ラムーン,モイスチャー星人
,,,眠り子,ボーンハイマー
,,,ウェザー・コントロール,フレイムダンサー
,,,オクトバーサー,鉄の騎士 ギア・フリード
,,,１３人目の埋葬者,ヒューマノイド・スライム
,,,炎の騎士 キラー,ワームドレイク
,,,聖なる鎖,ヒューマノイド・ドレイク
,,,死者の腕,リバイバルスライム
,,,魔人デスサタン,フライング・フィッシュ
,,,なぞの手,半魚獣・フィッシャービースト
,,,竜魂の石像,ロケット戦士
,,,青眼の銀ゾンビ,伝説のフィッシャーマン
,,,トードマスター,レアメタル・レディ
,,,デビルツムリ,レアメタル・ソルジャー
,,,炎を操る者,雷ウナギ
,,,時の魔人 ネクロランサ,スフィラスレディ
,,,風の番人 ジン,シャイン・アビス
,,,魅惑の怪盗,暗黒魔族ギルファー・デーモン
,,,髑髏の寺院,ガジェット・ソルジャー
,,,モンスター・エッグ,仮面呪術師カースド・ギュラ
,,,闇を司る影,仮面魔獣マスクド・ヘルレイザー
