禁止,制限,準制限,無制限,初登場
ブラック・ホール,封印されし者の右足,聖なる魔術師,青眼の白龍,レッド・ガジェット
サンダー・ボルト,封印されし者の左足,魔鏡導士リフレクト・バウンダー,ホーリー・エルフ,イエロー・ガジェット
キラー・スネーク,封印されし者の右腕,成金ゴブリン,サイクロプス,トリッキーズ・マジック４
黒き森のウィッチ,封印されし者の左腕,抹殺の使徒,ベビードラゴン,罅割れゆく斧
ハーピィの羽根帚,封印されしエクゾディア,グラヴィティ・バインド－超重力の網－,ガーゴイル,ブロックマン
死者蘇生,クリッター,強制転移,グレムリン,サイレント・ソードマン LV３
強欲な壺,闇の仮面,増援,砦を守る翼竜,サイレント・ソードマン LV５
心変わり,光の護封剣,非常食,きのこマン,サイレント・ソードマン LV７
いたずら好きな双子悪魔,メタモルポット,見習い魔術師,ヘルバウンド,サイレント・マジシャン LV４
強引な番兵,死のデッキ破壊ウイルス,暗黒のマンティコア,暗黒の竜王,マジシャンズ・サークル
苦渋の選択,サウザンド・アイズ・サクリファイス,ゴブリンのやりくり上手,剣竜,マジシャンズ・クロス
サイバーポッド,人造人間－サイコ・ショッカー,魔のデッキ破壊ウイルス,バーバリアン２号,サイレント・マジシャン LV８
王宮の勅命,天使の施し,,タイホーン,人造木人１８
刻の封印,スケープ・ゴート,,牛魔人,マイティガード
破壊輪,手札抹殺,,炎の剣士,魔貨物車両 ボコイチ
処刑人－マキュラ,遺言状,,時の魔術師,ハーピィ・ガール
現世と冥界の逆転,聖なるバリア －ミラーフォース－,,デーモンの召喚,創世神
ファイバーポッド,大嵐,,邪悪なるワーム・ビースト,創世者の化身
八汰烏,強奪,,ワイト,アルティメット・インセクト LV３
ラストバトル！,押収,,インプ,ミスティック・ソードマン LV６
悪夢の蜃気楼,サイクロン,,ミノタウルス,強化支援メカ・ヘビーウェポン
魔導サイエンティスト,停戦協定,,ルイーズ,エレメント・マジシャン
同族感染ウィルス,早すぎた埋葬,,岩窟魔人オーガ・ロック,エレメント・ザウルス
蝶の短剣－エルマ,リビングデッドの呼び声,,マウンテン・ウォーリアー,霞の谷の大怪鳥
カオス・ソルジャー －開闢の使者－,ドル・ドラ,,アンデット・ウォーリアー,一撃必殺侍
混沌帝龍 －終焉の使者－,お注射天使リリー,,デビル・ドラゴン,ハーピィ・レディ１
ヴィクトリー・ドラゴン,激流葬,,二頭を持つキング・レックス,ハーピィ・レディ２
第六感,魔法の筒,,ジャッジ・マン,ハーピィ・レディ３
,リミッター解除,,闇・道化師のサギー,逆巻く炎の精霊
,団結の力,,ブラック・マジシャン,炎帝テスタロス
,魔導師の力,,メデューサの亡霊,イーグル・アイ
,ライトニング・ボルテックス,,竜騎士ガイア,華麗なる潜入工作員
,王家の神殿,,暗黒騎士ガイア,侵略の炎
,ならず者傭兵部隊,,カース・オブ・ドラゴン,忍び寄るデビルマンタ
,はたき落とし,,壺魔人,漆黒の戦士 ワーウルフ
,月の書,,エルフの剣士,ミラージュ・ドラゴン
,無謀な欲張り,,幻想師・ノー・フェイス,爆炎集合体 ガイヤ・ソウル
,突然変異,,カルボナーラ戦士,きつね火
,魔導戦士 ブレイカー,,ホーリー・ドール,巨大戦艦 ビッグ・コア
,魔法石の採掘,,エレキッズ,可変機獣 ガンナードラゴン
,異次元の女戦士,,グリフォール,魔装機関車 デコイチ
,月読命,,サイガー,トラップ処理班 Aチーム
,混沌の黒魔術師,,ビック・アント,錬金生物 ホムンクルス
,D.D.アサイラント,,昆虫人間,闇魔界の竜騎士 ダークソード
,マシュマロン,,鎧蜥蜴,キング・もけもけ
,神殿を守る者,,ヘラクレス・ビートル,連続魔法
,深淵の暗殺者,,キラー・ビー,ハーピィの狩場
,レベル制限B地区,,ゴキボール,トライアングル・X・スパーク
,ネフティスの鳳凰神,,吸血ノミ,与奪の首飾り
,貪欲な壺,,ラーバモス,フリント
,黄泉ガエル,,グレート・モス,怒れるもけもけ
,ダンディライオン,,クリボー,振り出し
,,,マンモスの墓場,死者転生
,,,グレート・ホワイト,城壁壊しの大槍
,,,オオカミ,軽量化
,,,ハーピィ・レディ,邪気退散
,,,ハーピィ・レディ三姉妹,天罰
,,,タイガー・アックス,心鎮壷
,,,シルバー・フォング,レアメタル化・魔法反射装甲
,,,魔物の狩人,コザッキーの研究成果
,,,究極完全態・グレート・モス,マインド・ハック
,,,ガルーザス,風林火山
,,,千年竜,連鎖炸薬
,,,デビル・クラーケン,ピケルの魔法陣
,,,海月－ジェリーフィッシュ－,魔力浄化
,,,進化の繭,アストラルバリア
,,,海竜神,援護射撃
,,,岩石の巨兵,キャッスル・ゲート
,,,人喰い植物,所有者の刻印
,,,クロコダイラス,スペースマンボウ
,,,グラップラー,神竜 ラグナロク
,,,アックス・レイダー,格闘ねずみ チュー助
,,,メガザウラー,甲虫装甲騎士
,,,ワイルド・ラプター,ネフティスの導き手
,,,屍を貪る竜,アルティメット・インセクト LV５
,,,真紅眼の黒竜,地帝グランマーグ
,,,闇晦ましの城,エレメント・ヴァルキリー
,,,カードを狩る死神,エレメント・デビル
,,,闇魔界の覇王,本気ギレパンダ
,,,バロックス,またたびキャット
,,,ダーク・キメラ,百獣王 ベヒーモス
,,,メタル・ガーディアン,ビッグホーン・マンモス
,,,カタパルト・タートル,カンガルー・チャンプ
,,,逆転の女神,ハイエナ
,,,ケンタウロス,ブレードラビット
,,,ミノケンタウロス,機械犬マロン
,,,鎧武者斬鬼,ブラッド・マジシャン－煉獄の魔術師－
,,,地を這うドラゴン,剣聖－ネイキッド・ギア・フリード
,,,マーダーサーカス,重装武者－ベン・ケイ
,,,鎧武者ゾンビ,闇の住人 シャドウキラー
,,,ドラゴン・ゾンビ,番兵ゴーレム
,,,マーダーサーカス・ゾンビ,暴れ牛鬼
,,,ゴースト王－パンプキング－,融合呪印生物－光
,,,格闘戦士アルティメーター,融合呪印生物－闇
,,,邪炎の翼,融合呪印生物－地
,,,転職の魔鏡,暴風小僧
,,,黒魔族のカーテン,炎を支配する者
,,,トモザウルス,火炎鳥
,,,風の精霊,レスキューキャット
,,,シャドウ・ファイター,ブレイン・ジャッカー
,,,手招きする墓場,ガトリング・ドラゴン
,,,心眼の女神,竜魔人 キングドラグーン
,,,東方の英雄,鳳凰神の羽根
,,,死の沈黙の天使 ドマ,ポイズン・ファング
,,,命を食する者,闇の護封剣
